oadExec]: sceAppMgrLoadExec run self: app0:GOW2.self
[23:21:01.669] |T| [write_file]: install_trophy_context: Writing to fd: 0x1A, size: 89042
[23:21:01.674] |T| [close_file]: install_trophy_context: Closing file fd: 0x1A
[23:21:01.676] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP010.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP010.PNG), fd: 0x1B
[23:21:01.678] |T| [write_file]: install_trophy_context: Writing to fd: 0x1B, size: 89042
[23:21:01.679] |T| [close_file]: install_trophy_context: Closing file fd: 0x1B
[23:21:01.681] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP011.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP011.PNG), fd: 0x1C
[23:21:01.683] |T| [write_file]: install_trophy_context: Writing to fd: 0x1C, size: 89042
[23:21:01.683] |T| [close_file]: install_trophy_context: Closing file fd: 0x1C
[23:21:01.684] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP012.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP012.PNG), fd: 0x1D
[23:21:01.685] |T| [write_file]: install_trophy_context: Writing to fd: 0x1D, size: 89042
[23:21:01.689] |T| [close_file]: install_trophy_context: Closing file fd: 0x1D
[23:21:01.690] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05283_00/TROP013.PNG (ux0:/user/00/trophy/conf/NPWR05283_00/TROP013.PNG), fd: 0x1E
