|I| [export__sceAppMgrLoadExec]: sceAppMgrLoadExec run self: app0:rc1.self
[10:32:55.625] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.626] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.626] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.627] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.628] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.628] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.629] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.633] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.633] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.634] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.635] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.635] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.636] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.639] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.639] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.640] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.641] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.641] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.641] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.643] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.643] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.643] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.645] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.645] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.645] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.646] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.647] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.648] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.649] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.649] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.650] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.652] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.652] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.654] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.656] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.656] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.657] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.658] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.658] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.659] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.671] |T| [write_file]: *** TTY: F3DMemoryAllocate       8
[10:32:55.672] |T| [write_file]: *** TTY: F3DMemoryAllocate     192
[10:32:55.694] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.694] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.694] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.698] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.698] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.699] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.700] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.701] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.702] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.702] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.703] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.704] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.704] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.705] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.706] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.707] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.708] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.708] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.709] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.709] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.710] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.711] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.711] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.712] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.712] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.713] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.714] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.715] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.715] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.718] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.719] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.719] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.720] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.721] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.721] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.722] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.723] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.723] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.724] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.725] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.725] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.726] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.727] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.727] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.728] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.728] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.729] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.729] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.730] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.731] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.731] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.732] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.734] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.734] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.735] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.735] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.736] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.736] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.737] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.737] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.738] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.738] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.739] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.740] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.740] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.740] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.741] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.741] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.742] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.742] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.742] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.743] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.743] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.744] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.744] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.745] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.745] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.746] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.746] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.747] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.750] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.750] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.751] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.751] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.752] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.752] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.753] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.754] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.754] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.755] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.777] |T| [write_file]: *** TTY: F3DMemoryAllocate      8K
[10:32:55.803] |I| [export_sceIoOpen]: Opening file: tty0:
[10:32:55.803] |T| [open_file]: sceIoOpen: Opening terminal tty0:
[10:32:55.822] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.822] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.823] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.824] |I| [export_sceIoOpen]: Opening file: tty2:
[10:32:55.824] |E| [open_file]: Cannot find device for path: tty2:
[10:32:55.825] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.828] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.829] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.829] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.831] |T| [write_file]: *** TTY: F3DMemoryAllocate     576
[10:32:55.831] |T| [write_file]: *** TTY: F3DMemoryAllocate     576
[10:32:55.832] |T| [write_file]: *** TTY: F3DMemoryAllocate     576
[10:32:55.832] |T| [write_file]: *** TTY: F3DMemoryAllocate     22K
[10:32:55.835] |T| [write_file]: *** TTY: F3DMemoryAllocate      72
[10:32:55.836] |T| [write_file]: *** TTY: F3DMemoryAllocate      1K
[10:32:55.842] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.842] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.844] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.846] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.846] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.847] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.848] |T| [write_file]: *** TTY: F3DMemoryAllocate      72
[10:32:55.848] |T| [write_file]: *** TTY: F3DMemoryAllocate      1K
[10:32:55.849] |T| [write_file]: *** TTY: F3DMemoryAllocate     120
[10:32:55.849] |T| [write_file]: *** TTY: F3DMemoryAllocate      2K
[10:32:55.850] |T| [write_file]: *** TTY: F3DMemoryAllocate      24
[10:32:55.851] |T| [write_file]: *** TTY: F3DMemoryAllocate     576
[10:32:55.851] |T| [write_file]: *** TTY: F3DMemoryAllocate      12
[10:32:55.852] |T| [write_file]: *** TTY: F3DMemoryAllocate     288
[10:32:55.853] |T| [write_file]: *** TTY: F3DMemoryAllocate     120
[10:32:55.853] |T| [write_file]: *** TTY: F3DMemoryAllocate      2K
[10:32:55.902] |T| [write_file]: *** TTY: Activating SKU PCSF00482
[10:32:55.903] |T| [write_file]: *** TTY: Registered SKU 3  Region is 1
[10:32:55.903] |T| [write_file]: *** TTY: 
[10:32:55.904] |T| [write_file]: *** TTY: Allocating a new 243MB address space.
[10:32:55.933] |T| [write_file]: *** TTY:   contentInfoPath:[app0:]
[10:32:55.934] |T| [write_file]: *** TTY:   usrdirPath:[app0:]
[10:32:55.936] |T| [write_file]: *** TTY: Executing /dev_hdd0/game/(null)/USRDIR/EBOOT.BIN
[10:32:55.969] |T| [write_file]: *** TTY: ===MemPool MainMem Info === 255008512 bytes available From Startup Heap (243.20 meg)
[10:32:55.970] |T| [write_file]: *** TTY: ===MemPool MainMem Info === 255008512 bytes available Before InitGameGraphics (243.20 meg)
[10:32:55.973] |T| [write_file]: *** TTY: F3DMemoryAllocate     89M
[10:32:55.975] |T| [write_file]: *** TTY: F3DMemoryAllocate      2M
[10:32:56.062] |T| [write_file]: *** TTY: ===MemPool MainMem Info === 178200120 bytes available After InitGameGraphics (169.94 meg)
[10:32:56.064] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:56.064] |E| [open_file]: Cannot find device for path: tty3:
[10:32:56.064] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:56.065] |T| [write_file]: *** TTY: DEBUG: LoadFileSync (CommonVita/UI/DialogMessages.chl) opened [704534]
[10:32:56.067] |T| [write_file]: *** TTY: LoadDialogMessages() error
[10:32:56.094] |T| [write_file]: *** TTY: Checking for saves**** thr_SaveSystem_AutoSave() Finished ****
[10:32:56.096] |T| [write_file]: *** TTY: DONE!
[10:32:56.097] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR05785_00/TROPHY.TRP (ux0:/app/PCSF00482/sce_sys/trophy/NPWR05785_00/TROPHY.TRP), fd: 0x8
[10:32:56.098] |T| [open_file]: create_trophy_context: Opening file ux0:/user/00/trophy/data/NPWR05785_00/TROPUSR.DAT (ux0:/user/00/trophy/data/NPWR05785_00/TROPUSR.DAT), fd: 0x9
[10:32:56.099] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROPCONF.SFM (ux0:/user/00/trophy/conf/NPWR05785_00/TROPCONF.SFM), fd: 0xA
[10:32:56.100] |T| [write_file]: install_trophy_context: Writing to fd: 0xA, size: 2403
[10:32:56.101] |T| [close_file]: install_trophy_context: Closing file fd: 0xA
[10:32:56.101] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP.SFM (ux0:/user/00/trophy/conf/NPWR05785_00/TROP.SFM), fd: 0xB
[10:32:56.102] |T| [write_file]: install_trophy_context: Writing to fd: 0xB, size: 5957
[10:32:56.103] |T| [close_file]: install_trophy_context: Closing file fd: 0xB
[10:32:56.103] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP_00.SFM (ux0:/user/00/trophy/conf/NPWR05785_00/TROP_00.SFM), fd: 0xC
[10:32:56.104] |T| [write_file]: install_trophy_context: Writing to fd: 0xC, size: 6982
[10:32:56.105] |T| [close_file]: install_trophy_context: Closing file fd: 0xC
[10:32:56.106] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP_02.SFM (ux0:/user/00/trophy/conf/NPWR05785_00/TROP_02.SFM), fd: 0xD
[10:32:56.108] |T| [write_file]: install_trophy_context: Writing to fd: 0xD, size: 6294
[10:32:56.108] |T| [close_file]: install_trophy_context: Closing file fd: 0xD
[10:32:56.109] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP_03.SFM (ux0:/user/00/trophy/conf/NPWR05785_00/TROP_03.SFM), fd: 0xE
[10:32:56.110] |T| [write_file]: install_trophy_context: Writing to fd: 0xE, size: 6326
[10:32:56.110] |T| [close_file]: install_trophy_context: Closing file fd: 0xE
[10:32:56.111] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP_04.SFM (ux0:/user/00/trophy/conf/NPWR05785_00/TROP_04.SFM), fd: 0xF
[10:32:56.112] |T| [write_file]: install_trophy_context: Writing to fd: 0xF, size: 6316
[10:32:56.112] |T| [close_file]: install_trophy_context: Closing file fd: 0xF
[10:32:56.113] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP_05.SFM (ux0:/user/00/trophy/conf/NPWR05785_00/TROP_05.SFM), fd: 0x10
[10:32:56.114] |T| [write_file]: install_trophy_context: Writing to fd: 0x10, size: 6319
[10:32:56.115] |T| [close_file]: install_trophy_context: Closing file fd: 0x10
[10:32:56.115] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/ICON0.PNG (ux0:/user/00/trophy/conf/NPWR05785_00/ICON0.PNG), fd: 0x11
[10:32:56.116] |T| [write_file]: install_trophy_context: Writing to fd: 0x11, size: 102328
[10:32:56.117] |T| [close_file]: install_trophy_context: Closing file fd: 0x11
[10:32:56.118] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/ICON0_00.PNG (ux0:/user/00/trophy/conf/NPWR05785_00/ICON0_00.PNG), fd: 0x12
[10:32:56.118] |T| [write_file]: install_trophy_context: Writing to fd: 0x12, size: 97642
[10:32:56.119] |T| [close_file]: install_trophy_context: Closing file fd: 0x12
[10:32:56.120] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP000.PNG (ux0:/user/00/trophy/conf/NPWR05785_00/TROP000.PNG), fd: 0x13
[10:32:56.120] |T| [write_file]: install_trophy_context: Writing to fd: 0x13, size: 95268
[10:32:56.121] |T| [close_file]: install_trophy_context: Closing file fd: 0x13
[10:32:56.121] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP001.PNG (ux0:/user/00/trophy/conf/NPWR05785_00/TROP001.PNG), fd: 0x14
[10:32:56.125] |T| [write_file]: install_trophy_context: Writing to fd: 0x14, size: 96906
[10:32:56.126] |T| [close_file]: install_trophy_context: Closing file fd: 0x14
[10:32:56.126] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP002.PNG (ux0:/user/00/trophy/conf/NPWR05785_00/TROP002.PNG), fd: 0x15
[10:32:56.127] |T| [write_file]: install_trophy_context: Writing to fd: 0x15, size: 93087
[10:32:56.127] |T| [close_file]: install_trophy_context: Closing file fd: 0x15
[10:32:56.128] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP003.PNG (ux0:/user/00/trophy/conf/NPWR05785_00/TROP003.PNG), fd: 0x16
[10:32:56.129] |T| [write_file]: install_trophy_context: Writing to fd: 0x16, size: 89823
[10:32:56.130] |T| [close_file]: install_trophy_context: Closing file fd: 0x16
[10:32:56.131] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP004.PNG (ux0:/user/00/trophy/conf/NPWR05785_00/TROP004.PNG), fd: 0x17
[10:32:56.133] |T| [write_file]: install_trophy_context: Writing to fd: 0x17, size: 92642
[10:32:56.133] |T| [close_file]: install_trophy_context: Closing file fd: 0x17
[10:32:56.134] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP005.PNG (ux0:/user/00/trophy/conf/NPWR05785_00/TROP005.PNG), fd: 0x18
[10:32:56.135] |T| [write_file]: install_trophy_context: Writing to fd: 0x18, size: 93815
[10:32:56.136] |T| [close_file]: install_trophy_context: Closing file fd: 0x18
[10:32:56.137] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP006.PNG (ux0:/user/00/trophy/conf/NPWR05785_00/TROP006.PNG), fd: 0x19
[10:32:56.138] |T| [write_file]: install_trophy_context: Writing to fd: 0x19, size: 94044
[10:32:56.141] |T| [close_file]: install_trophy_context: Closing file fd: 0x19
[10:32:56.142] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR05785_00/TROP007.PNG (ux0:/user/00/trophy/conf/NPWR05785_00/TROP007.PNG), fd: 0x1A
