|I| [export__sceAppMgrLoadExec]: sceAppMgrLoadExec run self: app0:rc1.self
[10:32:55.526] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.526] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.527] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.527] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.530] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.532] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.532] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.533] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.534] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.534] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.534] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.535] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.536] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.536] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.537] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.538] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.538] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.539] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.540] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.540] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.542] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.542] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.542] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.543] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.545] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.546] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.547] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.548] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.548] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.550] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.550] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.550] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.551] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.552] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.552] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.554] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.554] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.554] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.555] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.556] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.556] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.557] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.558] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.558] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.559] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.561] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.561] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.563] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.564] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.565] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.566] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.566] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.567] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
