[04:46:00.937] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/Live2DUnity.dll of fd: 0x7
[04:46:00.937] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/mono of fd: 0x7
[04:46:00.938] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/Mono.Posix.dll of fd: 0x7
[04:46:00.939] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/Mono.Security.dll of fd: 0x7
[04:46:00.939] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/mscorlib.dll of fd: 0x7
[04:46:00.940] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/SonyNP.dll of fd: 0x7
[04:46:00.941] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/SonyVitaCommonDialog.dll of fd: 0x7
[04:46:00.941] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/SonyVitaSavedGames.dll of fd: 0x7
[04:46:00.942] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/SpicyPixel.Threading.dll of fd: 0x7
[04:46:00.942] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/SpicyPixel.Threading.Unity.dll of fd: 0x7
[04:46:00.943] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.Configuration.dll of fd: 0x7
[04:46:00.946] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.Core.dll of fd: 0x7
[04:46:00.946] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.dll of fd: 0x7
[04:46:00.947] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.Runtime.Serialization.dll of fd: 0x7
[04:46:00.948] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.Security.dll of fd: 0x7
[04:46:00.949] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.Threading.dll of fd: 0x7
